clean_tweet,sentiment,
"film deadpool and wolverine sangat memuaskan dan penuh kejutan, ",Positive,
"deadpool and wolverine adalah film yang sangat tidak realistis,  ",Negative,
"film deadpool and wolverine sangat menyenangkan, ",Negative,
"saya tidak suka akting di film deadpool and wolverine,  ",Negative,
"deadpool and wolverine adalah film yang sangat menghibur, ",Negative,
"film deadpool and wolverine terlalu banyak lelucon,  ",Negative,
"film deadpool and wolverine adalah film yang sangat seru, ",Negative,
"deadpool and wolverine adalah film yang luar biasa, ",Negative,
"film deadpool and wolverine terlalu panjang dan membosankan,  ",Negative,
"film deadpool and wolverine adalah kombinasi aksi dan komedi yang sempurna, ",Negative,
"saya tidak akan merekomendasikan film deadpool and wolverine,  ",Negative,
"deadpool and wolverine adalah film yang sangat kreatif, ",Positive,
"film deadpool and wolverine sangat menghibur dan lucu, ",Positive,
"film deadpool and wolverine sangat mengecewakan bagi saya,  ",Negative,
"deadpool and wolverine adalah film yang sangat bagus, ",Positive,
,,
